"","Location_skey","ChargePoint_skey","def_ampere"
"468",353,2204,16
"469",354,681,16
"470",354,857,16
"471",355,240,16
"472",355,1245,16
"473",356,2616,16
"474",357,2721,16
"475",358,4593,16
"476",359,400,16
"477",360,4721,16
"478",361,122,16
"479",362,4991,16
"480",363,1495,16
"481",363,6230,16
"482",364,4107,16
"483",365,3054,16
"484",366,2287,16
"485",368,1520,16
"486",369,5179,16
"487",369,5849,16
"488",370,3313,20
"489",371,2283,16
"490",372,2797,16
"491",373,5134,16
"492",375,144,16
"493",376,2938,16
"494",377,1648,16
"495",378,258,16
"496",379,6220,16
"497",380,2007,16
"498",381,1607,16
"499",382,1761,16
"500",383,3555,16
"501",384,4068,16
"502",385,3681,20
"503",386,2319,16
"504",387,7,16
"505",388,3637,16
"506",388,4234,16
"507",389,1530,16
"508",391,3504,16
"509",392,2539,16
"510",393,2575,16
"511",394,5094,13
"512",395,700,16
"513",395,900,16
"514",397,2714,16
"515",398,2906,16
"516",399,1997,16
"517",400,2356,16
"518",401,3897,16
"519",402,3816,16
"520",403,4755,16
"521",404,3890,16
"522",405,2184,16
"523",406,3926,16
"524",407,4006,16
"525",408,3118,16
"526",409,5088,20
"527",409,5955,13
"528",410,3578,16
"529",411,1465,16
"530",411,6296,16
"531",412,366,16
"532",413,3003,16
"533",414,6291,13
"534",415,2757,16
"535",416,3286,20
"536",417,4744,16
"537",418,3645,16
"538",419,90,16
"539",420,3294,20
"540",421,3474,16
"541",422,4056,16
"542",423,680,16
"543",423,910,16
"544",424,1778,16
"545",425,3557,16
"546",426,1603,16
"547",427,2957,16
"548",428,2424,16
"549",429,4899,16
"550",430,3936,16
"551",431,4578,16
"552",432,4150,16
"553",433,2341,16
"554",434,3101,16
"555",435,1749,16
"556",436,3399,20
"557",437,3170,16
"558",438,3058,16
"559",439,3715,16
"560",440,2479,20
"561",441,3912,16
"562",442,2218,20
"563",444,4151,16
"564",445,583,16
"565",445,907,16
"566",446,1688,16
"567",447,3800,20
"568",448,3055,20
"569",449,154,16
"570",449,750,16
"571",449,864,32
"572",450,3078,16
"573",451,4012,16
"574",453,2372,16
"575",454,3817,13
"576",455,1432,16
"577",455,6319,16
"578",456,2317,16
"579",457,603,16
"580",457,851,16
"581",458,30,16
"582",459,2675,16
"583",460,2380,16
"584",461,3873,16
"585",462,565,16
"586",462,920,16
"587",463,584,16
"588",463,809,16
"589",464,2022,16
"590",465,2345,16
"591",466,12,16
"592",467,3931,32
"593",468,3757,16
"594",469,2391,16
"595",470,3547,16
"596",471,1311,16
"597",471,6173,16
"598",473,3860,16
"599",474,1633,16
"600",475,5116,13
"601",476,1967,16
"602",476,2130,16
"603",477,3954,16
"604",478,2316,16
"605",479,2681,20
"606",481,1972,16
"607",482,116,16
"608",483,157,16
"609",484,2446,16
"610",485,425,16
"611",486,1641,16
"612",487,2237,16
"613",489,2367,16
"614",489,2376,16
"615",490,987,16
"616",490,1229,16
"617",491,70,16
"618",492,673,16
"619",492,860,16
"620",493,509,16
"621",493,1252,16
"622",494,3053,16
"623",495,3658,16
"624",496,4556,20
"625",497,52,16
"626",497,58,16
"627",498,2718,16
"628",499,1905,16
"629",500,1355,16
"630",500,6207,13
"631",501,4569,16
"632",502,4659,20
"633",503,3921,16
"634",504,5243,16
"635",504,5885,20
"636",505,3707,13
"637",506,3961,20
"638",507,2503,16
"639",508,1891,16
"640",509,3062,16
"641",510,4118,16
"642",511,2805,16
"643",512,3045,16
"644",513,2246,16
"645",514,3073,16
"646",515,2982,16
"647",517,4127,16
"648",518,3731,20
"649",519,818,16
"650",519,983,16
"651",520,2430,16
"652",521,354,16
"653",522,1390,16
"654",522,6325,16
"655",523,96,16
"656",524,3453,16
"657",525,493,16
"658",525,1233,16
"659",526,44,16
"660",527,3612,16
"661",528,710,16
"662",528,6261,16
"663",529,5110,16
"664",530,5317,16
"665",531,632,16
"666",531,827,16
"667",532,2722,16
"668",533,3162,16
"669",534,3305,20
"670",535,3763,16
"671",536,3335,20
"672",537,1810,16
"673",538,5229,16
"674",539,356,16
"675",540,4870,16
"676",541,3964,16
"677",542,2808,16
"678",543,3562,16
"679",544,2527,16
"680",545,3454,20
"681",546,81,16
"682",547,4811,16
"683",548,3499,16
"684",549,3011,16
"685",550,4816,16
"686",551,3920,20
"687",552,4153,16
"688",553,2439,16
"689",554,3660,16
"690",555,4426,16
"691",555,6093,16
"692",556,3740,20
"693",558,3609,16
"694",559,2493,16
"695",560,3134,16
"696",561,2244,16
"697",562,5340,16
"698",564,4822,16
"699",565,2596,20
"700",566,3876,16
"701",567,2518,20
"702",568,2509,16
"703",569,2273,16
"704",570,3830,16
"705",570,3831,16
"706",571,3725,16
"707",572,1580,16
"708",574,3191,16
"709",575,1805,16
"710",576,1544,16
"711",577,2899,16
"712",578,3968,16
"713",579,643,16
"714",579,820,16
"715",580,1522,16
"716",581,61,16
"717",582,4782,16
"718",583,5174,16
"719",584,165,16
"720",585,4835,16
"721",586,5146,16
"722",586,5262,16
"723",587,139,16
"724",587,5026,16
"725",588,3656,16
"726",589,4246,13
"727",589,4247,16
"728",589,4248,16
"729",589,4249,16
"730",589,5034,16
"731",589,5035,13
"732",590,4601,16
"733",591,605,16
"734",591,849,16
"735",592,2556,16
"736",593,4102,16
"737",594,3874,16
"738",595,4159,16
"739",596,3448,20
"740",598,2373,16
"741",599,1513,16
"742",599,5637,16
"743",600,3895,16
"744",601,3652,16
"745",603,3251,20
"746",604,2739,16
"747",605,3566,16
"748",606,4846,16
"749",607,101,16
"750",608,4805,16
"751",609,2814,16
"752",610,614,16
"753",610,843,16
"754",611,5109,16
"755",611,5947,32
"756",612,5074,16
"757",613,3126,16
"758",615,3152,16
"759",616,3260,16
"760",617,2941,16
"761",618,3361,20
"762",619,3745,20
"763",620,3792,16
"764",621,2457,16
"765",622,1662,16
"766",623,4003,16
"767",624,4763,16
"768",625,2773,16
"769",626,2547,16
"770",627,1559,16
"771",628,3647,16
"772",629,4465,16
"773",629,6051,13
"774",630,4709,16
"775",631,4844,16
"776",632,3317,32
"777",633,1742,16
"778",634,4438,16
"779",634,6172,16
"780",635,4116,16
"781",636,4123,16
"782",637,1445,16
"783",637,6110,16
"784",638,2447,16
"785",639,3500,16
"786",640,6150,13
"787",641,3583,16
"788",642,437,16
"789",643,618,16
"790",643,836,16
"791",644,4863,16
"792",645,2221,16
"793",646,5291,16
"794",648,2825,13
"795",648,14161,16
"796",649,2449,16
"797",650,39,16
"798",651,1689,16
"799",652,14465,16
"800",653,2786,16
"801",654,3761,16
"802",656,2986,16
"803",657,1837,16
"804",657,8184,16
"805",658,4859,16
"806",658,11731,16
"807",659,1854,16
"808",660,275,16
"809",661,1859,16
"810",662,4439,16
"811",662,6224,13
"812",663,209,16
"813",664,4682,16
"814",665,3204,16
"815",666,2846,20
"816",667,3503,16
"817",668,4827,16
"818",669,1680,16
"819",670,3220,16
"820",671,3866,16
"821",671,3867,16
"822",671,3868,16
"823",671,3869,16
"824",671,3870,16
"825",671,3871,16
"826",671,4988,16
"827",672,3353,20
"828",673,2743,20
"829",674,2676,20
"830",675,3804,16
"831",676,2608,16
"832",677,87,16
"833",678,264,16
"834",680,2903,16
"835",681,3978,16
"836",682,2336,16
"837",683,1012,16
"838",683,6127,13
"839",684,451,16
"840",685,547,16
"841",685,1150,16
"842",686,1676,16
"843",687,4379,16
"844",687,6096,13
"845",688,2206,16
"846",689,4552,16
"847",690,3139,16
"848",691,3111,16
"849",692,443,16
"850",694,3043,16
"851",695,1502,16
"852",695,6241,16
"853",696,3987,20
"854",698,4289,16
"855",698,6081,16
"856",699,3385,20
"857",700,494,16
"858",700,1205,16
"859",701,3742,16
"860",702,4582,20
"861",703,1804,16
"862",704,3630,16
"863",705,994,16
"864",705,6180,16
"865",706,1386,16
"866",706,6257,16
"867",707,358,16
"868",708,4550,16
"869",711,106,20
"870",712,2974,16
"871",713,3465,16
"872",714,4375,16
"873",714,6074,16
"874",715,3552,16
"875",716,2836,16
"876",716,14146,16
"877",717,4425,16
"878",717,6228,16
"879",718,5248,16
"880",719,4680,20
"881",720,602,16
"882",720,854,16
"883",721,3212,16
"884",722,3916,16
"885",724,2194,16
"886",726,3,16
"887",727,2529,16
"888",729,948,16
"889",729,5029,16
"890",730,4728,20
"891",731,2917,16
"892",733,74,16
"893",733,5027,16
"894",734,2158,20
"895",735,2259,16
"896",736,2148,16
"897",737,114,16
"898",738,1566,16
"899",739,3089,16
"900",740,3008,16
"901",741,5319,16
"902",741,5936,16
"903",742,5079,16
"904",742,5954,16
"905",743,4787,16
"906",744,3206,16
"907",745,3366,16
"908",746,4492,16
"909",746,6097,16
"910",747,1677,16
"911",749,1773,16
"912",751,130,16
"913",752,2953,16
"914",753,4745,16
"915",754,2977,16
"916",755,4368,16
"917",755,6215,32
"918",756,2613,20
"919",757,426,16
"920",757,808,16
"921",757,982,16
"922",758,492,16
"923",758,1063,16
"924",759,3371,20
"925",760,427,16
"926",761,3471,16
"927",762,2716,16
"928",764,2220,16
"929",765,3602,16
"930",766,2354,20
"931",767,1771,16
"932",768,3357,20
"933",769,1830,16
"934",770,3958,16
"935",771,2480,16
"936",772,1875,16
"937",773,2331,16
"938",773,2340,16
"939",774,5246,16
"940",774,5864,16
"941",775,4033,16
"942",776,1902,16
"943",777,3401,16
"944",778,137,16
"945",779,4697,16
"946",780,219,16
"947",781,620,16
"948",781,866,16
"949",782,1787,16
"950",783,2358,16
"951",784,401,16
"952",785,2620,16
"953",786,3072,16
"954",787,3523,16
"955",788,2530,16
"956",789,2365,16
"957",790,1011,16
"958",790,6287,16
"959",791,3205,16
"960",792,2450,16
"961",793,2207,16
"962",796,2928,16
"963",797,3216,20
"964",798,3060,20
"965",799,1941,16
"966",801,3924,16
"967",802,92,16
"968",803,1452,16
"969",803,6231,16
"970",804,1980,16
"971",805,3430,16
"972",805,14407,16
"973",806,2572,16
"974",807,1927,16
"975",808,4893,16
"976",809,3001,16
"977",810,3328,16
"978",811,4026,16
"979",812,2653,16
"980",813,2600,16
"981",813,2610,16
"982",814,80,16
"983",814,5030,16
"984",815,2240,16
"985",816,1369,16
"986",816,6235,13
"987",817,5743,16
"988",817,14458,16
"989",818,2357,16
"990",818,2377,16
"991",819,2854,16
"992",820,1711,16
"993",821,2292,16
"994",822,657,16
"995",822,807,16
"996",823,2607,16
"997",824,124,16
"998",825,4626,16
"999",826,4696,16
"1000",827,2745,16
"1001",828,3750,20
"1002",829,4648,16
"1003",831,1716,16
"1004",832,67,16
"1005",832,5003,16
"1006",833,743,16
"1007",833,771,16
"1008",833,812,16
"1009",834,1371,16
"1010",834,6194,16
"1011",835,115,16
"1012",836,1382,16
"1013",836,6273,13
"1014",837,1913,16
"1015",838,3985,20
"1016",839,6073,16
"1017",839,6200,16
"1018",840,4767,16
"1019",841,5367,16
"1020",842,1685,16
"1021",843,2891,16
"1022",844,1659,16
"1023",845,4651,16
"1024",845,5042,16
"1025",846,2763,16
"1026",847,2551,16
"1027",848,1639,16
"1028",848,2053,16
"1029",849,737,16
"1030",849,792,16
"1031",850,3258,20
"1032",851,3854,16
"1033",852,2264,20
"1034",853,33,16
"1035",854,2878,16
"1036",855,4479,16
"1037",855,6075,13
"1038",856,1608,16
"1039",857,1562,16
"1040",857,8183,16
"1041",858,2226,16
"1042",859,1808,16
"1043",860,2222,16
